Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Greg Maddux,104,118120,ATL,7.518202304840088,,5.81,2.359550561797753,,2.8460256237215766,,,,0.18515038,0.04887218,0.1362782,267.0,36,36,,,,,6.640449438202247,1.752808988764045,3.78846154,0.4719101123595505,0.2691823899371069,0.7545045,,0,0.2266401590457256,1.048689138576779,56.75674930376372,68.70487319098895,,,,4.971854209899902,0.4228460940823355,197,52,6,14,29,8,1,70
Jose Rijo,349,121206,CIN,7.074559688568115,,9.2,2.4831605236009775,,2.9300575679636807,,,,0.22060253,0.06025267,0.16034985,257.1,36,36,,,,,7.939118857146788,2.1683936966656425,3.66129032,0.6645077457523743,0.2767732962447844,0.80657792,,0,0.2259067357512953,1.0880828585418991,60.75886256668864,69.96717088649575,,,,5.188370227813721,0.4790274163738912,227,62,2,19,28,2,1,71
Randy Johnson,60,116615,SEA,7.010746166110039,,6.62,3.242820079021133,,3.047094461661831,,,,0.29530201,0.0949185,0.20038351,255.1,35,34,,,,,10.856397655853357,3.4895563893814363,3.11111111,0.775456975418097,0.2725752508361204,0.75408618,,1,0.199353448275862,1.1122716213067654,74.07853485248236,70.74612797390732,,,,3.7390480414032936,-0.0927931741134351,308,99,16,22,23,10,3,92
Kevin Appier,3,110293,KCR,6.809022426605225,,9.27,2.564245919349965,,2.8961689462212603,,,,0.19517314,0.08499475,0.11017838,238.2,34,34,,,,,7.013966779398435,3.0544694039315763,2.2962963,0.3016759905117606,0.258493353028065,0.75256107,,0,0.2101033295063145,1.1061452985431224,58.15708081707088,68.4109657116308,,,,5.619026184082031,0.0910225971881564,186,81,1,8,29,5,1,68
Mark Langston,1007323,117480,CAL,5.553531646728516,,8.52,3.195058390760151,,3.581325590935682,,,,0.18864293,0.08180943,0.10683349,256.1,35,35,,,,,6.881664226252632,2.98439520016058,2.30588235,0.7724316988650914,0.2693877551020408,0.74854651,,0,0.2308499475341028,1.189856909867944,73.52402380552815,81.51811138960787,,,,3.4742279052734375,-0.5622879904137035,196,85,1,22,23,7,0,91
Jimmy Key,1006885,117032,NYY,5.189827919006348,,6.26,3.0042250938544393,,3.512291338030867,,,,0.18248945,0.04535865,0.1371308,236.2,34,34,,,,,6.578872673883772,1.635211127034695,4.02325581,0.9887323093698156,0.2737588652482269,0.78993822,,0,0.2422566371681415,1.1070421583542378,70.30290404560591,80.85760745159392,,,,4.1398138999938965,0.5859127886442588,173,43,1,26,25,4,2,79
Jack McDowell,1008473,118656,CHW,5.17327356338501,,4.38,3.3662338996484493,,3.6117243691829,,,,0.14807873,0.06466729,0.08341143,256.2,34,34,,,,,5.540259959838073,2.419480615372323,2.28985507,0.7012987290934269,0.2949816401468788,0.75081967,,0,0.2623115577889447,1.2857143366712829,79.6911003909924,84.20264840432307,,,,3.010290145874023,0.6714411529818003,158,69,3,20,21,10,4,96
Chuck Finley,384,114133,CAL,5.124975681304932,,7.05,3.151193697723342,,3.688612987260597,,,,0.17558685,0.07699531,0.09859155,251.1,35,35,,,,,6.696286607662102,2.9363395819694778,2.2804878,0.7877984244308355,0.2877604166666667,0.74283811,,0,0.2487205731832139,1.293103474444553,72.51461854883948,83.95136260358872,,,,2.132528066635132,-0.3460157669503685,187,82,6,22,25,13,2,88
Steve Avery,1706,110397,ATL,5.0762715339660645,,3.76,2.941790910781591,,3.26148203701717,,,,0.14029181,0.04826038,0.09203143,223.1,35,35,,,,,5.037313203393135,1.7328357419672389,2.90697674,0.5641790787800312,0.2849083215796897,0.74352548,,0,0.2547169811320754,1.1597014397145085,70.76198829157913,78.78009097951548,,,,3.049272060394287,0.3019864369823661,125,43,0,14,25,3,1,73
Erik Hanson,1005333,115446,SEA,4.889019593596458,,4.59,3.4744183580678287,,3.406952342553809,,,,0.18151448,0.06681514,0.11469933,215.0,31,30,,,,,6.823255329699471,2.5116277287237314,2.71666667,0.7116278564717239,0.3032159264931087,0.73770492,,0,0.2581032412965186,1.2790696766648633,79.36913401249323,79.0656941285329,,,,1.6417621821165085,-0.3750917641219222,163,60,5,17,22,7,0,83
Tommy Greene,1005013,115099,PHI,4.771299630403519,,3.61,3.419999767613427,,3.073347715324164,,,,0.20023981,0.07434053,0.12589928,200.0,31,30,,,,,7.514999489361083,2.7899998104214796,2.69354839,0.5399999633073832,0.2762711864406779,0.69892473,,0,0.2275682704811443,1.1849999194800909,83.60100802336383,75.98065815528294,,,,1.9963098764419556,-0.2910692201357014,167,62,3,12,17,7,2,76
Curt Schilling,73,121811,PHI,4.5353617668151855,,2.68,4.015580823332721,,3.4557698275195357,,,,0.18940937,0.05804481,0.13136456,235.1,34,34,,,,,7.113314601332248,2.179886732666334,3.26315789,0.8796034184443102,0.2963483146067415,0.68873668,,0,0.254071661237785,1.2365439360738857,98.1598325850678,85.47506434805815,,,,1.4314260482788086,0.1179554594340939,186,57,4,23,23,7,2,105
John Burkett,179,111734,SFG,4.531368732452393,,2.6,3.6517987215022343,,3.407052775456493,,,,0.15392781,0.04246285,0.11146497,231.2,34,34,,,,,5.633093772530042,1.5539569027669082,3.625,0.6992806062451087,0.2829670329670329,0.70056045,,0,0.2514029180695847,1.1395683953623994,94.6918635309344,84.81173042268209,,,,2.378239870071411,0.2478211540880313,145,40,11,18,24,2,1,94
Bill Swift,1012788,123053,SFG,4.482192039489746,,4.48,2.8237823584169037,,3.4310411501971765,,,,0.16918103,0.05926724,0.10991379,232.2,34,34,,,,,6.073066168102108,2.1275072563415027,2.85454545,0.6962751020754009,0.2557803468208092,0.75389948,,0,0.2249134948096885,1.0744986143138904,73.22123537364021,85.41115069465701,,,,4.0870537757873535,1.145692262434741,157,55,6,18,23,1,1,73
Ben McDonald,1008454,118648,BAL,4.4715495109558105,,4.49,3.390317778717313,,3.67821157968758,,,,0.18708972,0.0940919,0.09299781,220.1,34,34,,,,,6.984871568200729,3.512859385176975,1.98837209,0.6944024366047509,0.2645669291338582,0.7295797,,0,0.2247873633049817,1.2299546426136436,77.80564675390656,84.0367259277103,,,,2.763377904891968,-0.6087580467011926,171,86,5,17,23,7,1,83
